CaseID,OpenedDate,ClosedDate,selected,Status,Category,Supervisor District,Police District,Neighborhood,Street,Latitude,Longitude,days_open,Point,point_geom
101,2024-05-01 08:00:00,2024-05-01 13:00:00,ONTIME,Closed,Needle Pickup,3,C11,Dorchester,10 Adams St,42.299,-71.060,0,"(42.299, -71.060)","POINT (-71.060 42.299)"
102,2024-05-02 09:00:00,2024-05-05 10:00:00,ONTIME,Closed,Street Light Outages,6,E13,Jamaica Plain,22 Centre St,42.310,-71.115,3,"(42.310, -71.115)","POINT (-71.115 42.310)"
103,2024-05-03 11:00:00,2024-05-09 12:00:00,OVERDUE,Closed,Parking Enforcement,2,D4,South End,80 Tremont St,42.345,-71.071,6,"(42.345, -71.071)","POINT (-71.071 42.345)"
104,2024-05-04 14:00:00,2024-05-15 15:00:00,OVERDUE,Closed,Sign Repair,4,B3,Dorchester,55 Bowdoin St,42.307,-71.072,11,"(42.307, -71.072)","POINT (-71.072 42.307)"
105,2024-05-05 12:00:00,2024-05-13 09:00:00,OVERDUE,Closed,Bed Bugs,7,B2,Roxbury,9 Warren St,42.325,-71.083,8,"(42.325, -71.083)","POINT (-71.083 42.325)"
106,2024-05-06 08:30:00,2024-05-21 10:00:00,OVERDUE,Closed,Poor Conditions of Property,7,B2,Roxbury,75 Dudley St,42.329,-71.083,15,"(42.329, -71.083)","POINT (-71.083 42.329)"
107,2024-05-07 07:00:00,2024-05-09 08:00:00,ONTIME,Closed,Missed Trash / Recycling / Yard Waste / Bulk Item,1,A7,East Boston,16 Maverick St,42.370,-71.039,2,"(42.370, -71.039)","POINT (-71.039 42.370)"
108,2024-05-08 10:00:00,2024-05-20 10:00:00,OVERDUE,Closed,Requests for Street Cleaning,3,C11,Dorchester,120 Geneva Ave,42.303,-71.071,12,"(42.303, -71.071)","POINT (-71.071 42.303)"
109,2024-05-09 13:00:00,2024-05-10 11:00:00,ONTIME,Closed,Graffiti Removal,5,D14,Allston / Brighton,100 Harvard Ave,42.351,-71.131,1,"(42.351, -71.131)","POINT (-71.131 42.351)"
110,2024-05-10 09:00:00,2024-05-23 16:00:00,OVERDUE,Closed,Abandoned Bicycle,5,D14,Allston / Brighton,25 Brighton Ave,42.353,-71.132,13,"(42.353, -71.132)","POINT (-71.132 42.353)"
111,2024-05-11 08:00:00,2024-05-13 08:00:00,ONTIME,Closed,Needle Pickup,2,D4,South Boston,15 A St,42.338,-71.052,2,"(42.338, -71.052)","POINT (-71.052 42.338)"
112,2024-05-12 10:30:00,2024-05-28 10:00:00,OVERDUE,Closed,Poor Conditions of Property,3,C11,Dorchester,83 Washington St,42.300,-71.066,16,"(42.300, -71.066)","POINT (-71.066 42.300)"
113,2024-05-13 09:30:00,2024-05-17 17:00:00,ONTIME,Closed,Parking Enforcement,1,A7,East Boston,2 Porter St,42.372,-71.036,4,"(42.372, -71.036)","POINT (-71.036 42.372)"
114,2024-05-14 07:45:00,2024-05-30 09:00:00,OVERDUE,Closed,Bed Bugs,7,B2,Roxbury,41 Malcolm X Blvd,42.329,-71.088,16,"(42.329, -71.088)","POINT (-71.088 42.329)"
115,2024-05-15 13:15:00,2024-05-16 14:00:00,ONTIME,Closed,Street Light Outages,6,E13,Jamaica Plain,71 Pond St,42.315,-71.118,1,"(42.315, -71.118)","POINT (-71.118 42.315)"
